Course ID,Course Title,Ad Campaign Platform,Ad Spend ($),Impressions,Clicks,Landing Page Views,Sign-ups,Conversion Rate (%),Location,Date
C-1001,Advanced Excel,Google Search,188.75,5931,381,327,125,38.23,Lagos,15/07/2025
C-1005,Project Management 101,Email Blast,1810.43,39175,5555,4424,2585,58.43,Accra,20/05/2025
C-1006,AI for Non-Techies,Facebook Ads,100.34,9352,349,250,60,24,Cairo,22/04/2025
C-1005,Project Management 101,LinkedIn Sponsored,82.25,3614,83,72,16,22.22,Johannesburg,21/06/2025
C-1003,SQL for Beginners,Facebook Ads,951.13,44708,5735,4047,2127,52.56,Kigali,26/06/2025
C-1008,UI/UX Fundamentals,Email Blast,1246.17,27632,733,640,289,45.16,Accra,18/05/2025
C-1003,SQL for Beginners,Google Search,199.17,11649,1315,1184,370,31.25,Abuja,19/04/2025
C-1000,Intro to Python,LinkedIn Sponsored,338.04,12754,1467,1322,788,59.61,Abuja,26/06/2025
C-1003,SQL for Beginners,Google Search,873.05,18485,1147,1025,344,33.56,Nairobi,02/06/2025
C-1006,AI for Non-Techies,Instagram Stories,142.12,3537,460,371,185,49.87,Johannesburg,09/06/2025
C-1003,SQL for Beginners,LinkedIn Sponsored,1341.95,31166,761,704,283,40.2,Cairo,06/07/2025
C-1003,SQL for Beginners,Facebook Ads,162.86,15609,855,789,280,35.49,Johannesburg,07/06/2025
C-1006,AI for Non-Techies,LinkedIn Sponsored,1080.63,22512,3078,2224,728,32.73,Nairobi,30/06/2025
C-1004,Digital Marketing Basics,Email Blast,670.84,24012,3435,2896,1311,45.27,Abuja,14/05/2025
C-1008,UI/UX Fundamentals,Facebook Ads,910.24,22702,1158,905,424,46.85,Nairobi,16/05/2025
C-1004,Digital Marketing Basics,Email Blast,378.23,12702,1534,1376,325,23.62,Cairo,09/07/2025
C-1000,Intro to Python,Email Blast,368.8,8104,146,122,45,36.89,Abuja,05/07/2025
C-1005,Project Management 101,LinkedIn Sponsored,1972.24,48745,2882,2101,540,25.7,Abuja,28/06/2025
C-1009,Remote Work Productivity,Facebook Ads,1312.95,34516,3332,2416,564,23.34,Abuja,17/06/2025
C-1009,Remote Work Productivity,LinkedIn Sponsored,178.36,13457,271,245,118,48.16,Lagos,26/06/2025
C-1006,AI for Non-Techies,Email Blast,27.56,1110,24,22,7,31.82,Johannesburg,09/07/2025
C-1005,Project Management 101,Facebook Ads,1174.55,29265,3622,3393,2016,59.42,Kigali,20/06/2025
C-1009,Remote Work Productivity,Facebook Ads,697.56,21572,1352,974,497,51.03,Cairo,17/06/2025
C-1008,UI/UX Fundamentals,Instagram Stories,631.8,21269,1475,1366,333,24.38,Kigali,11/05/2025
C-1006,AI for Non-Techies,LinkedIn Sponsored,688.83,46692,541,442,98,22.17,Accra,27/05/2025
C-1003,SQL for Beginners,Instagram Stories,951.84,28554,755,651,324,49.77,Accra,26/06/2025
C-1009,Remote Work Productivity,LinkedIn Sponsored,1713.51,38296,5541,4397,1381,31.41,Abuja,24/04/2025
C-1008,UI/UX Fundamentals,LinkedIn Sponsored,50.06,1026,42,39,7,17.95,Cairo,13/06/2025
C-1003,SQL for Beginners,Email Blast,1450.44,29173,468,431,177,41.07,Kigali,24/04/2025
C-1007,Graphic Design Essentials,Instagram Stories,926.23,29952,608,509,299,58.74,Johannesburg,25/06/2025
C-1008,UI/UX Fundamentals,Google Search,1123.63,32010,3140,2744,1047,38.16,Nairobi,04/05/2025
C-1004,Digital Marketing Basics,Email Blast,738.68,34780,3192,2953,644,21.81,Kigali,02/05/2025
C-1001,Advanced Excel,LinkedIn Sponsored,570.53,16392,2345,2163,826,38.19,Johannesburg,25/06/2025
C-1003,SQL for Beginners,Facebook Ads,257.17,10656,520,388,149,38.4,Lagos,09/05/2025
C-1003,SQL for Beginners,Email Blast,1589.17,32138,2947,2120,1250,58.96,Nairobi,02/06/2025
C-1007,Graphic Design Essentials,Email Blast,1198.26,28160,3034,2530,819,32.37,Johannesburg,12/07/2025
C-1006,AI for Non-Techies,Instagram Stories,1432.87,33399,3535,2618,1477,56.42,Johannesburg,21/05/2025
C-1002,Data Visualization with Power BI,Facebook Ads,1175.97,43995,6290,5544,2469,44.53,Nairobi,07/06/2025
C-1006,AI for Non-Techies,Google Search,169.59,15341,2156,1976,430,21.76,Cape Town,05/07/2025
C-1000,Intro to Python,Google Search,601.11,37530,2353,2123,1262,59.44,Nairobi,08/05/2025
C-1007,Graphic Design Essentials,Instagram Stories,425.4,9738,907,721,423,58.67,Kigali,06/05/2025
C-1007,Graphic Design Essentials,Email Blast,861.53,41150,5241,4282,1566,36.57,Abuja,15/06/2025
C-1008,UI/UX Fundamentals,Google Search,1510.81,30223,540,494,259,52.43,Cape Town,22/06/2025
C-1007,Graphic Design Essentials,Google Search,859.56,17986,2689,2255,1144,50.73,Cairo,07/06/2025
C-1008,UI/UX Fundamentals,Google Search,496.82,32758,4224,3217,1223,38.02,Cairo,18/05/2025
C-1007,Graphic Design Essentials,LinkedIn Sponsored,224.05,6077,872,742,216,29.11,Johannesburg,26/05/2025
C-1004,Digital Marketing Basics,LinkedIn Sponsored,848.22,23010,2221,1753,430,24.53,Nairobi,12/05/2025
C-1002,Data Visualization with Power BI,Google Search,479.85,10884,901,804,328,40.8,Abuja,23/05/2025
C-1002,Data Visualization with Power BI,Google Search,1236.26,47295,4127,3467,1909,55.06,Nairobi,06/07/2025
C-1006,AI for Non-Techies,LinkedIn Sponsored,964.72,27712,797,563,282,50.09,Cape Town,02/07/2025
C-1006,AI for Non-Techies,Google Search,53.76,5080,551,415,105,25.3,Abuja,08/07/2025
C-1006,AI for Non-Techies,Facebook Ads,1080.11,39278,2320,1966,701,35.66,Abuja,19/05/2025
C-1007,Graphic Design Essentials,LinkedIn Sponsored,57.31,1386,189,148,60,40.54,Cairo,26/06/2025
C-1006,AI for Non-Techies,Email Blast,1365.53,28460,1864,1594,868,54.45,Johannesburg,04/06/2025
C-1007,Graphic Design Essentials,LinkedIn Sponsored,312.67,15380,470,437,173,39.59,Abuja,13/05/2025
C-1007,Graphic Design Essentials,Instagram Stories,67.18,2902,215,203,80,39.41,Kigali,09/07/2025
C-1006,AI for Non-Techies,Google Search,734.41,48459,4781,3633,836,23.01,Cape Town,06/07/2025
C-1002,Data Visualization with Power BI,Email Blast,1488.83,41780,1166,860,219,25.47,Lagos,27/06/2025
C-1006,AI for Non-Techies,Email Blast,1152.26,39790,1411,1109,619,55.82,Lagos,12/06/2025
C-1001,Advanced Excel,Instagram Stories,501.73,43123,4461,3314,917,27.67,Accra,15/07/2025
C-1007,Graphic Design Essentials,Facebook Ads,174.89,12909,434,334,90,26.95,Cairo,28/06/2025
C-1006,AI for Non-Techies,Google Search,551.69,22453,603,491,138,28.11,Cape Town,09/05/2025
C-1005,Project Management 101,Instagram Stories,970.41,23118,1860,1623,350,21.57,Cairo,05/07/2025
C-1006,AI for Non-Techies,Facebook Ads,821.11,17532,1716,1236,679,54.94,Cape Town,30/05/2025
C-1000,Intro to Python,Facebook Ads,1451.51,36351,674,518,270,52.12,Kigali,17/06/2025
C-1003,SQL for Beginners,Facebook Ads,1281.21,43607,1562,1175,409,34.81,Lagos,13/06/2025
C-1000,Intro to Python,Google Search,686.46,17205,1661,1315,506,38.48,Lagos,04/07/2025
C-1009,Remote Work Productivity,Google Search,503.25,10986,166,126,61,48.41,Accra,28/06/2025
C-1007,Graphic Design Essentials,Facebook Ads,1251.8,44873,3663,3051,740,24.25,Johannesburg,29/05/2025
C-1007,Graphic Design Essentials,LinkedIn Sponsored,1175.28,46840,3961,3012,926,30.74,Kigali,13/07/2025
C-1002,Data Visualization with Power BI,Email Blast,940.33,40707,521,406,115,28.33,Nairobi,10/06/2025
C-1002,Data Visualization with Power BI,Facebook Ads,794.72,21384,572,527,230,43.64,Lagos,24/05/2025
C-1004,Digital Marketing Basics,Instagram Stories,1219.54,38735,4666,3847,903,23.47,Abuja,19/04/2025
C-1003,SQL for Beginners,Email Blast,90.32,5980,551,488,181,37.09,Johannesburg,17/06/2025
C-1001,Advanced Excel,LinkedIn Sponsored,1532.92,46691,2321,1835,841,45.83,Nairobi,19/05/2025
C-1009,Remote Work Productivity,LinkedIn Sponsored,71.93,3691,220,208,92,44.23,Abuja,27/04/2025
C-1005,Project Management 101,Email Blast,90.66,5519,133,98,29,29.59,Kigali,31/05/2025
C-1000,Intro to Python,Instagram Stories,1308.6,28528,1030,794,213,26.83,Nairobi,22/06/2025
C-1006,AI for Non-Techies,Instagram Stories,1219.36,24736,525,436,158,36.24,Accra,27/06/2025
C-1006,AI for Non-Techies,Email Blast,559.67,12543,322,257,151,58.75,Cairo,14/07/2025
C-1009,Remote Work Productivity,Instagram Stories,1332.73,36269,4511,3448,925,26.83,Cape Town,17/05/2025
C-1006,AI for Non-Techies,Email Blast,1036.81,48908,6852,5750,2464,42.85,Cairo,24/04/2025
C-1005,Project Management 101,Facebook Ads,461.67,17088,2011,1501,494,32.91,Cairo,17/04/2025
C-1007,Graphic Design Essentials,Instagram Stories,584.57,16981,1376,1046,257,24.57,Abuja,12/07/2025
C-1005,Project Management 101,Instagram Stories,84.23,2880,145,122,31,25.41,Kigali,05/07/2025
C-1002,Data Visualization with Power BI,Google Search,506.69,32952,2786,1986,664,33.43,Kigali,09/07/2025
C-1004,Digital Marketing Basics,LinkedIn Sponsored,987.97,23304,439,415,136,32.77,Cairo,10/06/2025
C-1008,UI/UX Fundamentals,Email Blast,56.32,1665,76,66,33,50,Johannesburg,19/05/2025
C-1001,Advanced Excel,Instagram Stories,793.45,16817,1278,1026,348,33.92,Cape Town,23/05/2025
C-1008,UI/UX Fundamentals,Instagram Stories,657.14,16749,2115,1990,496,24.92,Cape Town,02/06/2025
C-1007,Graphic Design Essentials,Facebook Ads,84.44,2130,301,224,50,22.32,Cairo,19/05/2025
C-1003,SQL for Beginners,Google Search,1149.88,27502,2486,2263,579,25.59,Cairo,20/04/2025
C-1009,Remote Work Productivity,Instagram Stories,1072.41,25184,962,712,189,26.54,Kigali,06/05/2025
C-1006,AI for Non-Techies,Email Blast,2249.22,49885,5144,4273,1467,34.33,Kigali,13/06/2025
C-1005,Project Management 101,Instagram Stories,1180.21,47062,3056,2763,1037,37.53,Cairo,24/06/2025
C-1004,Digital Marketing Basics,Google Search,526.15,17475,1306,1012,505,49.9,Nairobi,02/05/2025
C-1003,SQL for Beginners,Facebook Ads,688.14,21679,921,851,300,35.25,Accra,23/05/2025
C-1003,SQL for Beginners,Instagram Stories,722.47,15180,2078,1778,438,24.63,Cairo,12/05/2025
C-1009,Remote Work Productivity,Email Blast,1477.59,35382,3463,2714,693,25.53,Cairo,08/07/2025
C-1001,Advanced Excel,LinkedIn Sponsored,570.02,13721,1328,1106,616,55.7,Johannesburg,18/06/2025
C-1005,Project Management 101,LinkedIn Sponsored,507.27,12759,398,309,92,29.77,Lagos,06/06/2025
C-1008,UI/UX Fundamentals,LinkedIn Sponsored,418.93,9295,136,114,57,50,Lagos,17/05/2025
C-1000,Intro to Python,LinkedIn Sponsored,1634.33,37264,2157,1952,476,24.39,Accra,07/06/2025
C-1007,Graphic Design Essentials,Facebook Ads,123.54,7723,215,171,88,51.46,Cairo,05/05/2025
C-1007,Graphic Design Essentials,Instagram Stories,1153.96,32373,1362,1199,585,48.79,Kigali,25/06/2025
C-1002,Data Visualization with Power BI,LinkedIn Sponsored,104.06,4367,467,390,117,30,Cape Town,18/04/2025
C-1001,Advanced Excel,Instagram Stories,137.51,5282,187,173,74,42.77,Cape Town,01/06/2025
C-1001,Advanced Excel,Facebook Ads,1298.33,38815,2898,2714,709,26.12,Accra,04/07/2025
C-1002,Data Visualization with Power BI,LinkedIn Sponsored,1700.51,37886,3062,2611,541,20.72,Nairobi,23/06/2025
C-1003,SQL for Beginners,Email Blast,410.94,8762,1231,1035,495,47.83,Abuja,01/06/2025
C-1009,Remote Work Productivity,Email Blast,1373.04,40067,4367,3223,1387,43.03,Johannesburg,09/07/2025
C-1008,UI/UX Fundamentals,Instagram Stories,1219.21,25928,1798,1589,911,57.33,Cape Town,01/05/2025
C-1004,Digital Marketing Basics,Instagram Stories,1723.46,39569,2893,2106,1250,59.35,Cairo,24/06/2025
C-1009,Remote Work Productivity,Facebook Ads,1282.39,41699,1144,1064,583,54.79,Nairobi,25/04/2025
C-1003,SQL for Beginners,Google Search,982.97,41993,3896,3115,691,22.18,Cairo,05/05/2025
C-1001,Advanced Excel,Google Search,292.76,11292,1382,969,323,33.33,Accra,06/07/2025
C-1008,UI/UX Fundamentals,Google Search,141.33,5919,504,468,158,33.76,Lagos,30/05/2025
C-1006,AI for Non-Techies,Email Blast,857.65,30524,3456,2809,814,28.98,Cape Town,24/05/2025
C-1004,Digital Marketing Basics,Google Search,83.99,3139,93,69,27,39.13,Cairo,09/06/2025
C-1004,Digital Marketing Basics,Instagram Stories,1661.13,47070,6499,5138,2220,43.21,Nairobi,25/04/2025
C-1003,SQL for Beginners,Email Blast,888.3,18337,216,187,50,26.74,Johannesburg,02/07/2025
C-1006,AI for Non-Techies,Email Blast,424.98,8521,262,210,49,23.33,Johannesburg,05/07/2025
C-1002,Data Visualization with Power BI,Google Search,736.29,18408,1478,1254,284,22.65,Nairobi,16/04/2025
C-1000,Intro to Python,LinkedIn Sponsored,209.29,11873,467,431,121,28.07,Cairo,14/05/2025
C-1007,Graphic Design Essentials,Instagram Stories,115.54,9149,138,112,47,41.96,Cairo,21/05/2025
C-1006,AI for Non-Techies,Email Blast,520.59,18841,2234,1816,744,40.97,Cape Town,24/04/2025
C-1007,Graphic Design Essentials,Email Blast,108.34,6271,414,347,90,25.94,Lagos,30/05/2025
C-1006,AI for Non-Techies,LinkedIn Sponsored,1023.53,49138,6419,6011,2099,34.92,Cairo,01/07/2025
C-1000,Intro to Python,Google Search,113.48,6985,699,560,117,20.89,Lagos,24/06/2025
C-1004,Digital Marketing Basics,Facebook Ads,731.82,38764,4273,3694,778,21.06,Accra,26/06/2025
C-1007,Graphic Design Essentials,Instagram Stories,495.89,35010,1482,1286,267,20.76,Cairo,06/07/2025
C-1002,Data Visualization with Power BI,Instagram Stories,768.59,39360,4801,3574,1647,46.08,Cape Town,23/06/2025
C-1001,Advanced Excel,LinkedIn Sponsored,1406.53,31802,760,578,282,48.79,Abuja,06/06/2025
C-1005,Project Management 101,Facebook Ads,401.11,22040,2782,2223,1038,46.69,Accra,24/06/2025
C-1005,Project Management 101,Instagram Stories,375.46,27977,1427,1318,270,20.49,Cairo,07/05/2025
C-1006,AI for Non-Techies,Facebook Ads,1234.6,37051,1448,1023,278,27.17,Cape Town,19/04/2025
C-1001,Advanced Excel,LinkedIn Sponsored,511.61,21612,1491,1376,725,52.69,Kigali,18/06/2025
C-1001,Advanced Excel,Email Blast,569.62,27488,1273,1011,440,43.52,Lagos,02/07/2025
C-1008,UI/UX Fundamentals,Instagram Stories,858.37,31276,3045,2443,1028,42.08,Lagos,22/05/2025
C-1003,SQL for Beginners,LinkedIn Sponsored,545.78,34976,1791,1678,848,50.54,Cape Town,15/04/2025
C-1007,Graphic Design Essentials,Google Search,184.02,4382,576,473,263,55.6,Cairo,09/07/2025
C-1008,UI/UX Fundamentals,LinkedIn Sponsored,303.54,9586,666,469,144,30.7,Cape Town,21/05/2025
C-1007,Graphic Design Essentials,Facebook Ads,388.71,8957,883,675,172,25.48,Johannesburg,26/05/2025
C-1002,Data Visualization with Power BI,Email Blast,446.36,21365,3158,2625,705,26.86,Lagos,01/07/2025
C-1008,UI/UX Fundamentals,Facebook Ads,917.04,27738,348,323,79,24.46,Johannesburg,09/07/2025
C-1001,Advanced Excel,Facebook Ads,1349.29,31241,1511,1267,583,46.01,Accra,17/06/2025
C-1007,Graphic Design Essentials,LinkedIn Sponsored,2206.33,47963,1865,1310,333,25.42,Cairo,17/05/2025
C-1006,AI for Non-Techies,Instagram Stories,1193.98,32621,4317,3666,1613,44,Johannesburg,30/04/2025
C-1007,Graphic Design Essentials,Google Search,940.26,37127,1282,1190,437,36.72,Abuja,04/06/2025
C-1003,SQL for Beginners,Email Blast,1591.92,40280,3329,2369,631,26.64,Accra,08/07/2025
C-1001,Advanced Excel,Instagram Stories,488.52,19104,412,350,104,29.71,Kigali,31/05/2025
C-1008,UI/UX Fundamentals,Facebook Ads,405.07,18509,933,736,358,48.64,Cairo,15/06/2025
C-1004,Digital Marketing Basics,Email Blast,1873.53,39465,3524,2886,1343,46.53,Cape Town,26/05/2025
C-1002,Data Visualization with Power BI,Email Blast,620.13,30264,3406,2567,545,21.23,Cape Town,10/05/2025
C-1005,Project Management 101,Email Blast,771.85,22786,2126,1515,603,39.8,Abuja,04/07/2025
C-1007,Graphic Design Essentials,Google Search,287.27,22088,1254,1119,271,24.22,Johannesburg,27/04/2025
C-1009,Remote Work Productivity,Google Search,714.9,26098,2921,2406,1143,47.51,Abuja,09/07/2025
C-1000,Intro to Python,Instagram Stories,825.74,21852,972,879,456,51.88,Abuja,13/06/2025
C-1006,AI for Non-Techies,Google Search,607.95,44495,2140,1813,624,34.42,Cape Town,30/05/2025
C-1000,Intro to Python,Email Blast,258.16,9273,1283,941,545,57.92,Kigali,27/05/2025
C-1001,Advanced Excel,Facebook Ads,1172.97,29855,1072,895,491,54.86,Cape Town,26/06/2025
C-1000,Intro to Python,Google Search,2125.67,48346,5942,5138,2450,47.68,Abuja,30/06/2025
C-1002,Data Visualization with Power BI,Instagram Stories,292.24,5903,265,217,62,28.57,Cairo,28/04/2025
C-1005,Project Management 101,Instagram Stories,1967.13,41845,5949,4222,2035,48.2,Nairobi,04/07/2025
C-1005,Project Management 101,Email Blast,513.31,45194,1594,1342,759,56.56,Abuja,30/04/2025
C-1005,Project Management 101,Instagram Stories,2055.14,42077,4529,3506,1997,56.96,Lagos,21/06/2025
C-1009,Remote Work Productivity,Google Search,240.1,5484,779,637,347,54.47,Cairo,13/07/2025
C-1003,SQL for Beginners,Facebook Ads,1690.51,49940,2730,2476,531,21.45,Abuja,29/06/2025
C-1001,Advanced Excel,Facebook Ads,1609.94,42533,1794,1309,302,23.07,Cape Town,16/06/2025
